Aditivo;Conc. Adit;Conc NaSal;Maxwell;err;OldroydB;err;Jeffreys;err;Dois Modos1;err1;Dois Modos2;err2;García-Saraji;err
DMSO;15;60;34.42772962996053;0.25768986253083825;34.40322804842845;0.22394423983813996;34.41471282682345;0.2239612114165719;32.848560441066326;0.18099525115826348;3.4277242591272445;0.22921946340604424;34.459072801109336;0.1975884739414732
DMSO;15;100;51.10908828875542;0.23936557065395095;51.06735580654225;0.2545142369927305;51.08777692344609;0.2446035913123233;47.77211546250893;1.274326988441569;4.622839873995956;1.156643265875749;51.11379545155353;0.2320818729954811
DMSO;15;260;50.045286677941945;0.28849661630737244;49.330450691884096;0.2306486669149015;49.67508495865538;0.21523050310284653;47.27350501393185;0.4564835475672471;6.4655047370417575;0.4768348850882494;50.068693455602464;0.2186797173089838
DMSO;25;60;25.44322975201587;0.4960075215338466;25.161102625451413;0.3722139146988384;25.281933200063378;0.372451774947489;22.17717554350489;0.21532189881693312;7.962215849335263;0.28934827213750697;25.64798071604302;0.34944393174943644
DMSO;25;100;44.11657377152569;0.22375653332882228;43.75967174932087;0.1942268863330929;43.933286804811175;0.1822087151816544;41.66353226521575;0.40018432849121977;4.1796239930663885;0.33348406604133296;44.12638665069025;0.17130608149749355
DMSO;25;260;56.516453199358246;1.2276548637797084;60.63621299363879;1.509089725163748;56.51649007017278;0.0;7.698211907805812;12.510264502326637;50.08971523249389;11.896637106197252;56.51647044339625;1.2636001934931675
13BD;15;100;47.552424949465895;0.2503330761445227;47.55962268974884;0.4428809080852788;47.55242461276449;0.0;5.7757937956781245;4.577600592779142;42.65717395179213;4.406548962581343;47.548560311464215;0.27836051164102266
13BD;15;260;54.56465683947549;3.7778295132418425;12.504869409770064;1.868658517363572;22.79847015200608;2.5612717431280867;12.502669495836553;4.730010411076285;209135.2380081961;399371856.8614492;53.76878156502507;3.2354739783631854
13BD;25;100;0.7556787871662944;0.13802084642954485;0.3839896082286092;0.2017234762608142;0.5337966962972813;0.1968588126635036;4.81793738238423e-09;0.0;0.7556781786085636;0.0;1.3926077344629573;0.3608178222188928
Glicerina;30;60;35.51581572977648;0.2723654721860408;35.4176475870768;0.21719082511141152;35.463942402616134;0.21680613411248376;33.33908277552613;0.2855764955056393;3.8142595929118133;0.28975798424011795;35.54488695570064;0.19356854895802286
Glicerina;30;100;53.794567610512225;0.24981143370054434;53.435178402406095;0.1522910234174718;53.60982318614276;0.14942340693241554;5.25252001034703;0.22297560718250792;52.27827025243916;0.11229818528834157;53.82535481943385;0.1461288079349793
Glicerina;30;260;51.97037599379734;0.2413323792901027;51.66259561055339;0.1435000668047984;51.81162954168149;0.14136015837680355;50.341335522142685;0.15367184935825445;4.477618182948304;0.2118783647788711;52.001401561187706;0.12041848148689326
Glicerina;60;60;26.266327687205703;1.5226036882852092;65.02903568956057;13.563960971053556;26.266311452288235;0.0;2.360211465728624;2.1105122518116257;25.7115253596208;2.032208008681222;26.25305077004303;3.1978622722071135
Glicerina;60;100;43.41815869399083;0.4698862664860775;41.9250921906215;0.2107938092031613;42.61578569327497;0.19988599307730373;39.7287834045556;0.12930051951322538;12.465102919380548;0.3118622265941452;43.56168956387782;0.2091887584714701
Glicerina;60;260;45.007473842395996;0.28865297618409275;43.29325420769128;0.4610493183421282;44.12209966497671;0.321724922131576;30.73308633554273;15.442232385367525;15.526747574698252;15.788907167088007;45.01591843994;0.22914659329648696
Sacarose;50;60;56.29261167643536;0.7631304946635277;56.26604976331894;0.5702731489880581;56.27743922140632;0.5703818950770334;46.133929536905306;2.1116198411400378;12.554382464039426;2.1067523057758226;56.605184863086656;0.5489211731228711
Sacarose;50;100;59.86560695654674;0.5863194221902487;58.545284367154046;0.19663888320147765;59.167840498284704;0.19195827400356366;57.04570286671178;0.09648784396539163;18.76933807945685;0.6645510636338774;60.07275357934848;0.2258910795614493
Sacarose;50;260;55.669081317777916;0.7678790739739239;55.463195453963785;0.3747749521540772;55.56091133508921;0.3752035025886945;53.95852033422671;0.17595024033074982;21.625545663670678;1.1970446846900802;56.007586561191815;0.44864911208811226
Ureia;5;60;42.76204660987819;0.2878130472508485;42.69054770537206;0.2801466813701268;42.72428115597239;0.2785948725499865;13.980778524915126;1.4019649992582857;29.720150379699287;1.4226527612618252;42.76207986605873;0.0
Ureia;5;100;62.99267677036663;0.20511907172446472;62.8569555818851;0.1790507080587256;62.92335696109532;0.1776673937700626;61.51047226296314;0.22492698289985047;3.7325553173712485;0.28204189297467164;63.00720361590614;0.1630916339133376
Ureia;5;260;50.96166080126065;0.1628893673657921;50.90192480051997;0.12695623295466058;50.931058876801345;0.12669331098640366;49.3252815329036;0.29579038660009915;2.509792005603063;0.28581943739406185;50.97232238219716;0.10621428133125528
Ureia;15;60;35.291161654615564;0.2894732657686157;35.275688882995325;0.26598660586472456;35.282885623950264;0.2660092895984089;33.016331057109305;0.42337929484103104;3.6112510115858085;0.4472782904940664;35.318074481920796;0.2451794127429873
Ureia;15;100;54.32504096351472;0.14322643986259495;54.29137165498531;0.1079555655018048;54.307908899355155;0.10787878172668912;53.51908767634187;0.1284645916026899;1.8925354431139856;0.16411768641537824;54.33437067162878;0.0877113403981628
Ureia;15;260;53.55120062949272;0.22615550376914936;53.44447919078596;0.17984901578428386;53.49606553046553;0.17924423889149074;51.41011801412589;0.2998323614951929;3.6177099607057546;0.2933989629076809;53.57157581997758;0.14238183869087914
Ureia;30;60;22.608511967794556;1.2917380424392313;19.943796006673008;1.2029390766240533;20.58331897152033;1.1790676377207323;9.816061781014874;0.8648678795916755;20.209342472672947;1.2698233505159802;22.271092219216598;1.2264018556556804
Ureia;30;100;49.96814112737933;0.2057118144071328;49.924679925164064;0.17423061210212334;49.94583516258103;0.17394166641028086;47.11807898078495;0.7490335786982281;3.4966860526791024;0.7245029446881748;49.97521605978793;0.15241900455263765
Ureia;30;260;50.17958903243953;0.24612618920091706;49.96322913365701;0.19727222343504774;50.06722634462331;0.19496570390866425;47.09700971053466;0.2894621770636862;4.885579728357339;0.26636308126123265;50.20298549863042;0.16471681784644365
